,,,,,Country/State ->,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Republic of the Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,St. Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands (U.S.),West Bank and Gaza,Yemen,Zambia,Zimbabwe,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia (US),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
,,,,,City ->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Region ->,South Asia,Europe & Central Asia,Middle East & North Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,South Asia,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Sub-Saharan Africa,North America,South Asia,Latin America & Caribbean,Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,North America,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Sub-Saharan Africa,Europe & Central Asia,Latin America & Caribbean,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Europe & Central Asia,Sub-Saharan Africa,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,South Asia,East Asia & Pacific,Middle East & North Africa,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,East Asia & Pacific,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,South Asia,Sub-Saharan Africa,Middle East & North Africa,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,East Asia & Pacific,South Asia,Europe & Central Asia,East Asia & Pacific,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,South Asia,East Asia & Pacific,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Middle East & North Africa,Sub-Saharan Africa,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,East Asia & Pacific,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,North America,Latin America & Caribbean,Europe & Central Asia,East Asia & Pacific,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,
,,,,,Income class ->,Low income,Upper middle income,Lower middle income,High income,High income,Lower middle income,High income,Upper middle income,Upper middle income,High income,High income,High income,Upper middle income,High income,High income,Lower middle income,High income,Upper middle income,High income,Upper middle income,Lower middle income,High income,Lower middle income,Lower middle income,Upper middle income,Upper middle income,Upper middle income,High income,High income,Upper middle income,Low income,Low income,Lower middle income,Lower middle income,Lower middle income,High income,High income,Low income,Low income,High income,High income,Upper middle income,Upper middle income,Lower middle income,Low income,Lower middle income,Upper middle income,Lower middle income,High income,Upper middle income,High income,High income,High income,High income,Lower middle income,Upper middle income,Upper middle income,Upper middle income,Lower middle income,Upper middle income,Upper middle income,Low income,High income,Lower middle income,Low income,High income,Upper middle income,High income,High income,High income,Upper middle income,Low income,Upper middle income,High income,Lower middle income,High income,High income,High income,Upper middle income,High income,Upper middle income,Lower middle income,Low income,High income,Lower middle income,Lower middle income,High income,High income,High income,Lower middle income,Upper middle income,Lower middle income,Upper middle income,High income,High income,High income,High income,Upper middle income,High income,Lower middle income,Upper middle income,Lower middle income,Lower middle income,Low income,High income,Upper middle income,High income,Lower middle income,Lower middle income,High income,Lower middle income,Lower middle income,Low income,Upper middle income,High income,High income,High income,High income,Low income,Low income,Upper middle income,Upper middle income,Low income,High income,Upper middle income,Lower middle income,Upper middle income,Upper middle income,Lower middle income,Upper middle income,High income,Lower middle income,Upper middle income,Lower middle income,Low income,Lower middle income,Upper middle income,High income,Lower middle income,High income,High income,High income,Lower middle income,Low income,Lower middle income,Upper middle income,High income,High income,High income,Lower middle income,Upper middle income,High income,Lower middle income,Upper middle income,Upper middle income,Lower middle income,High income,High income,High income,High income,High income,Upper middle income,Low income,Lower middle income,High income,Lower middle income,High income,Lower middle income,Upper middle income,High income,Low income,High income,High income,High income,High income,Lower middle income,Low income,Upper middle income,Low income,High income,Lower middle income,High income,Upper middle income,High income,Upper middle income,Low income,Upper middle income,High income,High income,Low income,High income,Lower middle income,Lower middle income,Upper middle income,Lower middle income,Low income,Upper middle income,High income,Lower middle income,Upper middle income,Upper middle income,High income,Upper middle income,Low income,Lower middle income,High income,High income,High income,High income,Lower middle income,Lower middle income,Upper middle income,Lower middle income,High income,Upper middle income,Low income,Lower middle income,Lower middle income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,High income,
Topic,Category,Location,Impact,Reference,Units,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Republic of the Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,St. Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands (U.S.),West Bank and Gaza,Yemen,Zambia,Zimbabwe,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia (US),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
GHG Emissions,N/A for GHG,N/A for GHG,N/A for GHG,GHG Emissions,$/tCO2e,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,236.00,
Water Consumption,N/A for WC,N/A for WC,Malnutrition,Water Consumption_N/A for WC_N/A for WC_Malnutrition,USD/m3,0.49,0.02,0.24,0.30,0.00,0.05,0.08,0.01,0.19,0.08,0.00,0.00,0.21,0.00,0.15,0.31,0.08,0.00,0.00,0.00,0.02,0.08,0.01,0.09,0.00,0.31,0.01,0.08,0.00,0.02,0.01,0.01,0.33,0.01,0.01,0.00,0.08,0.00,0.14,0.08,0.05,0.12,0.00,0.33,0.01,0.00,0.00,0.01,0.00,0.03,0.08,0.00,0.00,0.00,0.08,0.08,0.02,0.07,0.41,0.00,0.00,0.17,0.00,0.64,0.34,0.08,0.00,0.00,0.01,0.30,0.00,0.00,0.00,0.01,0.15,0.08,0.00,0.08,0.08,0.30,0.03,0.01,0.00,0.01,0.02,0.02,0.09,0.00,0.07,0.01,0.00,0.00,0.71,0.12,0.08,0.15,0.33,0.00,0.09,0.00,0.00,0.00,0.30,0.01,0.00,0.01,0.11,0.10,0.02,0.00,0.21,0.01,0.00,0.23,0.48,0.02,0.10,0.09,0.00,0.00,0.00,0.15,0.06,0.01,0.30,0.02,0.33,0.00,0.30,0.34,0.08,0.03,0.04,0.01,0.01,0.00,0.64,0.30,0.22,0.00,0.30,0.05,0.92,0.00,0.00,0.00,0.30,0.17,0.50,0.19,0.30,0.07,0.61,0.10,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.01,0.30,0.00,0.02,0.01,0.00,0.00,0.33,0.00,0.01,0.08,0.09,0.02,0.30,0.01,0.03,0.03,0.40,0.00,0.08,0.08,0.08,0.08,0.00,0.00,0.38,0.00,0.19,0.09,0.00,0.05,0.00,0.01,0.29,0.30,0.39,0.02,0.05,0.05,0.08,0.30,0.00,0.01,0.03,0.27,0.15,0.17,0.27,0.30,0.01,0.03,0.08,0.15,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Consumption,N/A for WC,N/A for WC,Water-borne disease,Water Consumption_N/A for WC_N/A for WC_Water-borne disease,USD/m3,0.06,0.13,0.00,0.11,0.00,0.00,0.76,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.19,0.06,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.16,0.00,0.29,1.86,0.02,0.18,0.39,0.58,0.00,1.79,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.01,0.00,0.18,0.00,0.00,0.43,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,1.14,0.01,0.00,0.11,0.00,0.00,0.18,0.00,0.00,0.00,0.01,0.00,0.00,0.11,0.04,0.00,0.02,0.04,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.55,0.11,0.00,0.03,0.02,0.11,0.00,0.00,0.00,0.18,0.00,0.11,0.70,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.39,0.18,0.00,0.00,0.00,0.01,285.45,0.01,0.00,0.00,0.85,0.18,0.18,0.18,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.05,0.18,0.00,0.00,0.00,0.18,0.00,0.01,4.80,0.00,0.00,0.01,0.00,0.00,0.00,0.18,0.00,0.18,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Consumption,N/A for WC,N/A for WC,Resource cost,Water Consumption_N/A for WC_N/A for WC_Resource cost,USD/m3,0.32,1.00,0.43,0.03,2.44,0.39,0.00,1.10,0.10,0.00,0.27,0.00,1.07,0.00,39.82,0.84,0.00,0.00,10.01,0.00,0.00,2.40,0.02,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.35,0.00,0.53,0.01,0.00,0.33,0.00,0.00,0.02,1.38,2.89,1.98,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,23.45,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.02,0.00,0.41,0.00,0.00,0.03,1.38,0.00,0.00,0.51,0.03,0.00,0.00,0.00,0.00,0.00,1.38,7.06,1.38,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.03,5.38,2.88,0.00,1.38,25.24,8.10,0.00,0.00,2.47,1.61,0.06,0.03,0.00,0.00,0.26,14.23,0.17,0.00,0.00,6.05,0.30,0.00,0.58,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.17,0.19,16.48,0.03,0.07,0.53,4.15,0.03,0.00,1.38,0.08,0.00,1.28,0.00,0.02,0.06,0.15,0.24,0.53,0.03,0.00,0.00,0.12,0.19,0.00,0.03,0.00,2.71,0.94,0.03,0.00,0.00,0.00,0.64,0.02,0.03,3.80,0.00,71.13,0.00,0.03,0.00,0.03,10.95,0.00,8.44,0.56,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,2.18,0.00,9.08,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.49,0.00,0.62,0.00,0.27,0.03,0.79,0.08,0.00,0.03,0.00,2.02,3.40,2.45,0.00,0.03,0.00,0.15,40.73,0.00,4.47,0.00,1.83,0.00,0.01,0.03,0.00,16.00,2.29,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Consumption,N/A for WC,N/A for WC,Ecosystem services,Water Consumption_N/A for WC_N/A for WC_Ecosystem services,USD/m3,0.28,1.94,0.08,4.53,1.52,0.54,1.17,0.86,1.72,1.19,0.60,2.00,1.54,2.93,0.38,2.13,1.52,2.08,1.73,0.91,0.58,1.78,1.71,0.67,2.12,0.37,0.77,1.19,0.74,2.00,0.87,1.92,1.21,1.37,0.74,1.94,1.19,0.61,0.27,2.02,1.38,0.96,0.66,1.94,0.86,0.67,0.82,0.68,2.03,1.35,1.19,1.27,1.98,2.11,0.19,0.68,0.96,0.76,0.15,1.06,0.70,0.23,2.86,0.86,0.68,2.02,1.30,3.09,1.74,4.53,0.72,1.76,1.81,1.93,0.95,2.02,1.74,2.02,0.92,4.53,0.82,0.60,1.26,0.68,1.30,0.83,2.42,1.97,0.66,1.52,0.89,0.30,0.37,0.74,2.02,0.94,1.86,0.82,2.42,0.17,0.84,0.73,13.27,2.19,2.27,2.08,0.01,1.03,0.76,2.24,0.95,0.36,0.70,0.01,1.89,2.04,1.84,2.42,0.51,3.69,0.78,16.73,0.29,1.07,15.02,0.06,1.62,0.63,1.38,1.82,2.65,0.46,2.19,0.35,0.73,1.03,0.26,3.74,1.19,2.49,4.53,2.12,2.00,0.12,1.03,2.12,4.53,1.39,0.01,0.65,2.65,0.91,0.78,0.78,0.61,1.27,2.00,1.54,1.19,0.06,2.02,1.68,1.66,0.81,1.68,1.48,0.01,0.99,2.01,4.38,0.81,0.78,1.19,2.10,2.23,1.43,0.27,0.53,0.53,1.46,0.98,1.08,0.79,1.19,1.04,0.28,0.82,2.76,1.95,0.51,2.42,0.52,1.53,1.38,1.00,0.51,3.06,0.84,0.40,1.22,0.40,1.19,8.99,3.11,2.10,0.02,1.20,1.62,0.84,1.09,1.94,0.72,1.14,1.19,0.36,0.06,0.80,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste,Hazardous,Landfill,Leachate,Waste_Hazardous_Landfill_Leachate,$/kg,18.19,19.63,18.10,44.44,32.40,23.31,20.15,33.58,19.63,20.15,26.45,8.97,19.63,20.15,69.66,20.37,20.15,19.63,10.39,22.11,23.31,26.85,18.68,8.52,19.63,28.93,22.49,20.15,44.44,26.42,23.31,23.31,23.31,21.04,23.31,23.40,20.15,23.31,23.31,32.40,13.02,45.25,16.19,23.31,23.31,23.31,35.21,23.31,32.40,22.11,20.15,32.40,60.36,10.12,18.10,22.11,33.12,12.39,24.42,22.11,28.93,23.31,33.60,23.31,23.31,32.40,34.30,4.78,7.66,44.44,28.93,23.31,19.63,8.96,23.31,32.40,30.65,32.40,22.11,44.44,18.78,23.31,23.31,20.15,8.52,8.52,44.44,48.64,32.40,9.51,19.95,18.10,30.29,50.60,32.40,69.66,65.69,17.48,39.57,11.79,19.63,23.31,21.04,26.70,91.90,19.63,69.66,16.39,21.04,33.76,18.10,23.31,23.31,30.29,32.40,41.76,32.40,44.44,23.31,23.31,47.11,21.99,23.31,69.66,34.30,23.31,44.85,19.26,21.04,19.63,32.40,21.04,19.63,18.10,23.31,21.04,28.93,44.44,18.68,11.39,44.44,19.85,8.52,23.31,23.31,19.63,44.44,38.39,69.66,18.68,34.30,27.33,21.04,22.11,12.62,23.94,50.21,61.05,20.15,69.66,34.81,12.84,23.31,21.04,32.40,23.31,69.66,23.31,19.63,31.22,23.31,44.44,20.15,58.35,59.71,21.04,23.31,13.00,23.31,33.62,26.18,20.15,22.11,20.15,22.11,23.31,22.11,5.38,32.40,26.49,44.44,16.39,23.31,24.88,21.04,23.31,34.30,20.15,18.10,19.63,19.63,20.15,34.30,23.31,16.39,69.66,8.80,30.30,20.10,16.39,21.04,22.11,18.14,20.15,30.29,26.49,23.31,23.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
